i_simul,year,strategy,resources,n_ind,n_predator,n_dead,gamma,total_seeds
1,0,matching,3.7871765216469697,97.0,25.78237933363587,5.0,1.0,257.8237933363587
1,0,alternate,3.7871765216469697,103.0,25.78237933363587,5.0,1.0,257.8237933363587
1,0,switching,3.7871765216469697,100.0,25.78237933363587,5.0,1.0,257.8237933363587
1,0,reversed,3.7871765216469697,89.0,25.78237933363587,5.0,1.0,257.8237933363587
1,0,storage,3.7871765216469697,111.0,25.78237933363587,5.0,1.0,257.8237933363587
1,1,matching,3.3813870602943386,96.0,8.394652887329535,5.0,0.9784856862907934,85.79229113868459
1,1,alternate,3.3813870602943386,107.0,8.394652887329535,5.0,0.9784856862907934,85.79229113868459
1,1,switching,3.3813870602943386,98.0,8.394652887329535,5.0,0.9784856862907934,85.79229113868459
1,1,reversed,3.3813870602943386,89.0,8.394652887329535,5.0,0.9784856862907934,85.79229113868459
1,1,storage,3.3813870602943386,110.0,8.394652887329535,5.0,0.9784856862907934,85.79229113868459
1,2,matching,1.9976013680042308,100.0,31.01146989898294,5.0,0.2336456118767931,1327.2866393628667
1,2,alternate,1.9976013680042308,106.0,31.01146989898294,5.0,0.2336456118767931,1327.2866393628667
1,2,switching,1.9976013680042308,97.0,31.01146989898294,5.0,0.2336456118767931,1327.2866393628667
1,2,reversed,1.9976013680042308,88.0,31.01146989898294,5.0,0.2336456118767931,1327.2866393628667
1,2,storage,1.9976013680042308,109.0,31.01146989898294,5.0,0.2336456118767931,1327.2866393628667
1,3,matching,0.9884332129909796,101.0,71.5876021042143,5.0,0.7072677973866536,1012.1710951457095
1,3,alternate,0.9884332129909796,102.0,71.5876021042143,5.0,0.7072677973866536,1012.1710951457095
1,3,switching,0.9884332129909796,97.0,71.5876021042143,5.0,0.7072677973866536,1012.1710951457095
1,3,reversed,0.9884332129909796,90.0,71.5876021042143,5.0,0.7072677973866536,1012.1710951457095
1,3,storage,0.9884332129909796,110.0,71.5876021042143,5.0,0.7072677973866536,1012.1710951457095
1,4,matching,3.8498592837097623,101.0,74.2332176390924,5.0,0.9706113591404918,764.8088695853338
1,4,alternate,3.8498592837097623,103.0,74.2332176390924,5.0,0.9706113591404918,764.8088695853338
1,4,switching,3.8498592837097623,95.0,74.2332176390924,5.0,0.9706113591404918,764.8088695853338
1,4,reversed,3.8498592837097623,89.0,74.2332176390924,5.0,0.9706113591404918,764.8088695853338
1,4,storage,3.8498592837097623,112.0,74.2332176390924,5.0,0.9706113591404918,764.8088695853338
1,5,matching,3.115067076765915,103.0,9.810941583562958,5.0,0.9999765881780975,98.11171280957642
1,5,alternate,3.115067076765915,104.0,9.810941583562958,5.0,0.9999765881780975,98.11171280957642
1,5,switching,3.115067076765915,95.0,9.810941583562958,5.0,0.9999765881780975,98.11171280957642
1,5,reversed,3.115067076765915,89.0,9.810941583562958,5.0,0.9999765881780975,98.11171280957642
1,5,storage,3.115067076765915,109.0,9.810941583562958,5.0,0.9999765881780975,98.11171280957642
1,6,matching,3.388178011566752,105.0,35.35328152709791,5.0,0.2696608342013266,1311.027670436688
1,6,alternate,3.388178011566752,102.0,35.35328152709791,5.0,0.2696608342013266,1311.027670436688
1,6,switching,3.388178011566752,98.0,35.35328152709791,5.0,0.2696608342013266,1311.027670436688
1,6,reversed,3.388178011566752,88.0,35.35328152709791,5.0,0.2696608342013266,1311.027670436688
1,6,storage,3.388178011566752,107.0,35.35328152709791,5.0,0.2696608342013266,1311.027670436688
1,7,matching,2.711794695529044,104.0,90.22297521344763,5.0,0.6690637788363014,1348.4958843590653
1,7,alternate,2.711794695529044,104.0,90.22297521344763,5.0,0.6690637788363014,1348.4958843590653
1,7,switching,2.711794695529044,97.0,90.22297521344763,5.0,0.6690637788363014,1348.4958843590653
1,7,reversed,2.711794695529044,87.0,90.22297521344763,5.0,0.6690637788363014,1348.4958843590653
1,7,storage,2.711794695529044,108.0,90.22297521344763,5.0,0.6690637788363014,1348.4958843590653
1,8,matching,3.1327719376281498,104.0,87.09770969534983,5.0,0.9810267031408287,887.8220074591258
1,8,alternate,3.1327719376281498,105.0,87.09770969534983,5.0,0.9810267031408287,887.8220074591258
1,8,switching,3.1327719376281498,96.0,87.09770969534983,5.0,0.9810267031408287,887.8220074591258
1,8,reversed,3.1327719376281498,86.0,87.09770969534983,5.0,0.9810267031408287,887.8220074591258
1,8,storage,3.1327719376281498,109.0,87.09770969534983,5.0,0.9810267031408287,887.8220074591258
1,9,matching,0.6186160467033139,103.0,4.643043644923985,5.0,0.9999995833780241,46.43045579318809
1,9,alternate,0.6186160467033139,105.0,4.643043644923985,5.0,0.9999995833780241,46.43045579318809
1,9,switching,0.6186160467033139,97.0,4.643043644923985,5.0,0.9999995833780241,46.43045579318809
1,9,reversed,0.6186160467033139,87.0,4.643043644923985,5.0,0.9999995833780241,46.43045579318809
1,9,storage,0.6186160467033139,108.0,4.643043644923985,5.0,0.9999995833780241,46.43045579318809
1,10,matching,2.729029553652591,103.0,14.86379315087417,5.0,0.2251030824779754,660.3105113999706
1,10,alternate,2.729029553652591,104.0,14.86379315087417,5.0,0.2251030824779754,660.3105113999706
1,10,switching,2.729029553652591,96.0,14.86379315087417,5.0,0.2251030824779754,660.3105113999706
1,10,reversed,2.729029553652591,89.0,14.86379315087417,5.0,0.2251030824779754,660.3105113999706
1,10,storage,2.729029553652591,108.0,14.86379315087417,5.0,0.2251030824779754,660.3105113999706
1,11,matching,2.2737587227211544,102.0,33.22529210189842,5.0,0.6057256756513274,548.5204513771317
