i_simul,gen,strategy,n_ind,fitness_relative
1,0,matching,36.0,23.10634316291189
1,0,switching,38.0,23.913923010076314
1,0,storage,26.0,24.19668079448635
1,1,matching,35.0,24.899316707158388
1,1,switching,30.0,24.904256842478294
1,1,storage,35.0,24.162860549131995
1,2,matching,42.0,23.162241027498162
1,2,switching,30.0,23.604526392632554
1,2,storage,28.0,23.61546112610016
1,3,matching,45.0,25.075117248015452
1,3,switching,21.0,25.463792628024834
1,3,storage,34.0,25.746979295075562
1,4,matching,37.0,23.999267655370588
1,4,switching,21.0,24.346860659305143
1,4,storage,42.0,25.35011899003481
1,5,matching,30.0,26.39972686539175
1,5,switching,13.0,26.66428521761027
1,5,storage,57.0,27.233862090533492
1,6,matching,31.0,24.289981541013574
1,6,switching,15.0,24.46295324147929
1,6,storage,54.0,25.69181965556964
1,7,matching,32.0,24.451032407065654
1,7,switching,16.0,24.146428035635367
1,7,storage,52.0,26.430338921222894
1,8,matching,35.0,24.86018525181281
1,8,switching,9.0,25.13201983723458
1,8,storage,56.0,25.8334701406142
1,9,matching,30.0,24.012379535400164
1,9,switching,8.0,23.882805055717633
1,9,storage,62.0,26.26509169299833
1,10,matching,26.0,23.838943988842857
1,10,switching,15.0,22.34120970991909
1,10,storage,59.0,26.18987925971083
1,11,matching,23.0,25.21097805923408
1,11,switching,17.0,24.99324587257351
1,11,storage,60.0,26.9769765971869
1,12,matching,21.0,24.892779931191313
1,12,switching,13.0,24.272013492154883
1,12,storage,66.0,26.683671756376043
1,13,matching,20.0,23.953671719861998
1,13,switching,10.0,23.575512917073375
1,13,storage,70.0,25.77874819902294
1,14,matching,32.0,22.607742006019176
1,14,switching,7.0,22.144272166965347
1,14,storage,61.0,26.274338276744967
1,15,matching,33.0,24.782819231868665
1,15,switching,10.0,24.572786641306017
1,15,storage,57.0,26.8642687725292
1,16,matching,39.0,24.985825609291826
1,16,switching,10.0,25.424749958070656
1,16,storage,51.0,25.817153976238714
1,17,matching,42.0,24.46071052531884
1,17,switching,9.0,25.08353519908938
1,17,storage,49.0,26.11137053502509
1,18,matching,43.0,23.973781871029512
1,18,switching,5.0,23.949615625802352
1,18,storage,52.0,25.7048861494748
1,19,matching,42.0,23.005203011359974
1,19,switching,9.0,22.14515372535747
1,19,storage,49.0,25.457635355453004
1,20,matching,35.0,24.702181814986535
1,20,switching,8.0,25.029184125310156
1,20,storage,57.0,27.39642627917404
1,21,matching,32.0,24.09342177338276
1,21,switching,14.0,23.907102317982662
1,21,storage,54.0,25.258736445619235
1,22,matching,27.0,25.083357092503363
1,22,switching,17.0,24.969320068599586
1,22,storage,56.0,27.961267732043947
1,23,matching,26.0,25.560208991121968
1,23,switching,16.0,25.497841537857244
1,23,storage,58.0,27.366754121712926
1,24,matching,27.0,24.782325470150017
1,24,switching,14.0,25.657020742332897
1,24,storage,59.0,26.19514554554321
1,25,matching,28.0,24.82143369122067
1,25,switching,12.0,25.374706764077388
1,25,storage,60.0,27.687405083453303
1,26,matching,23.0,24.19481950462888
1,26,switching,17.0,24.437724976118254
1,26,storage,60.0,26.3783499672486
1,27,matching,22.0,24.807556323281258
1,27,switching,17.0,24.865674617894605
1,27,storage,61.0,25.73134439991616
1,28,matching,21.0,25.234046442308426
1,28,switching,15.0,24.73732623188547
1,28,storage,64.0,27.31152446487189
1,29,matching,10.0,24.865700940877197
1,29,switching,15.0,24.500433118052072
1,29,storage,75.0,27.43039305568737
1,30,matching,11.0,23.740155241392735
1,30,switching,20.0,22.15893230092355
1,30,storage,69.0,26.485394447093352
1,31,matching,16.0,23.678506260678258
1,31,switching,17.0,24.371083160324822
1,31,storage,67.0,27.625103335108456
