i_simul,gen,strategy,n_ind,fitness_relative
1,52,matching,0.0,0.0
1,52,switching,0.0,0.0
1,52,storage,100.0,46.8632225462287
1,53,matching,1.0,6.658877875581528
1,53,switching,1.0,4.764553559806177
1,53,storage,98.0,44.93817090265217
1,54,matching,2.0,7.209098487435148
1,54,switching,0.0,0.0
1,54,storage,98.0,45.03666266272652
1,55,matching,0.0,0.0
1,55,switching,1.0,2.5137681966167373
1,55,storage,99.0,44.99357488578115
1,56,matching,0.0,0.0
1,56,switching,0.0,0.0
1,56,storage,100.0,45.496702517016054
1,57,matching,0.0,0.0
1,57,switching,0.0,0.0
1,57,storage,100.0,45.380366189904464
1,58,matching,2.0,7.687268869693682
1,58,switching,0.0,0.0
1,58,storage,98.0,45.59146760324804
1,59,matching,1.0,7.221474764562132
1,59,switching,2.0,3.812598052896787
1,59,storage,97.0,45.64729317989857
1,60,matching,1.0,7.573514283066363
1,60,switching,1.0,10.223452094626603
1,60,storage,98.0,47.135306078108265
1,61,matching,3.0,7.469410839642676
1,61,switching,2.0,7.558725330372586
1,61,storage,95.0,45.59081647255547
1,62,matching,3.0,7.150007266432834
1,62,switching,2.0,8.988094766606773
1,62,storage,95.0,44.90744845129732
1,63,matching,0.0,0.0
1,63,switching,0.0,0.0
1,63,storage,100.0,45.99407626687733
1,64,matching,2.0,7.317238119899995
1,64,switching,1.0,4.6292499014092385
1,64,storage,97.0,45.35515292321709
1,65,matching,3.0,7.170900685069397
1,65,switching,2.0,9.96972673474255
1,65,storage,95.0,44.886785371454664
1,66,matching,0.0,0.0
1,66,switching,2.0,4.675015852300707
1,66,storage,98.0,45.456795813628105
1,67,matching,0.0,0.0
1,67,switching,1.0,8.416185216654737
1,67,storage,99.0,46.20736478976556
1,68,matching,2.0,8.380933269354847
1,68,switching,0.0,0.0
1,68,storage,98.0,47.298646984655164
1,69,matching,3.0,7.451159060337133
1,69,switching,0.0,0.0
1,69,storage,97.0,45.543102957873124
1,70,matching,0.0,0.0
1,70,switching,0.0,0.0
1,70,storage,100.0,46.955635691815516
1,71,matching,2.0,7.7765333107270225
1,71,switching,0.0,0.0
1,71,storage,98.0,45.97154897054137
1,72,matching,0.0,0.0
1,72,switching,0.0,0.0
1,72,storage,100.0,45.33479455936056
1,73,matching,1.0,7.337996851994693
1,73,switching,0.0,0.0
1,73,storage,99.0,45.06493018918372
1,74,matching,1.0,7.47500128928674
1,74,switching,0.0,0.0
1,74,storage,99.0,45.04787348415515
1,75,matching,1.0,6.717771184416936
1,75,switching,0.0,0.0
1,75,storage,99.0,46.29762261732832
1,76,matching,0.0,0.0
1,76,switching,0.0,0.0
1,76,storage,100.0,45.20911335352898
1,77,matching,1.0,6.527270491486554
1,77,switching,0.0,0.0
1,77,storage,99.0,43.80058717584571
1,78,matching,0.0,0.0
1,78,switching,1.0,7.403733677284166
1,78,storage,99.0,47.01300239706231
1,79,matching,2.0,7.522393911525381
1,79,switching,1.0,5.1837330606029175
1,79,storage,97.0,45.050744912340456
1,80,matching,0.0,0.0
1,80,switching,0.0,0.0
1,80,storage,100.0,44.961477975158694
1,81,matching,1.0,7.387139223837426
1,81,switching,0.0,0.0
1,81,storage,99.0,44.81600881937117
1,82,matching,1.0,7.428663868717653
1,82,switching,1.0,7.318153282352327
1,82,storage,98.0,45.650222026785684
1,83,matching,0.0,0.0
1,83,switching,0.0,0.0
1,83,storage,100.0,44.932080006507924
1,84,matching,0.0,0.0
1,84,switching,0.0,0.0
1,84,storage,100.0,43.247499823519156
1,85,matching,0.0,0.0
1,85,switching,1.0,7.24432574284676
1,85,storage,99.0,46.01958299136716
1,86,matching,0.0,0.0
1,86,switching,1.0,10.545295391325224
1,86,storage,99.0,44.847184470001366
1,87,matching,1.0,6.701644210936254
1,87,switching,1.0,4.223377962728847
1,87,storage,98.0,45.9291780833841
1,88,matching,0.0,0.0
1,88,switching,0.0,0.0
1,88,storage,100.0,46.202642055250365
1,89,matching,2.0,7.131233101543223
1,89,switching,0.0,0.0
