i_simul,year,strategy,resources,n_ind,n_predator,n_dead
1,0,matching,3.7871765216469697,97.0,103.12951733454348,1.0
1,0,alternate,3.7871765216469697,103.0,103.12951733454348,1.0
1,0,switching,3.7871765216469697,100.0,103.12951733454348,1.0
1,0,reversed,3.7871765216469697,89.0,103.12951733454348,1.0
1,0,storage,3.7871765216469697,111.0,103.12951733454348,1.0
1,1,matching,3.3761902051419503,98.0,55.83771731336099,1.0
1,1,alternate,3.3761902051419503,103.0,55.83771731336099,1.0
1,1,switching,3.3761902051419503,99.0,55.83771731336099,1.0
1,1,reversed,3.3761902051419503,89.0,55.83771731336099,1.0
1,1,storage,3.3761902051419503,111.0,55.83771731336099,1.0
1,2,matching,3.4509401960266657,99.0,535.3811958964848,1.0
1,2,alternate,3.4509401960266657,103.0,535.3811958964848,1.0
1,2,switching,3.4509401960266657,98.0,535.3811958964848,1.0
1,2,reversed,3.4509401960266657,89.0,535.3811958964848,1.0
1,2,storage,3.4509401960266657,111.0,535.3811958964848,1.0
1,3,matching,3.763856857584954,99.0,150.77262860517735,1.0
1,3,alternate,3.763856857584954,103.0,150.77262860517735,1.0
1,3,switching,3.763856857584954,98.0,150.77262860517735,1.0
1,3,reversed,3.763856857584954,89.0,150.77262860517735,1.0
1,3,storage,3.763856857584954,111.0,150.77262860517735,1.0
1,4,matching,1.5604263841710364,99.0,388.75658536932514,2.0
1,4,alternate,1.5604263841710364,103.0,388.75658536932514,2.0
1,4,switching,1.5604263841710364,98.0,388.75658536932514,2.0
1,4,reversed,1.5604263841710364,89.0,388.75658536932514,2.0
1,4,storage,1.5604263841710364,111.0,388.75658536932514,2.0
1,5,matching,1.1101390367860327,99.0,80.53160155616614,125.0
1,5,alternate,1.1101390367860327,102.0,80.53160155616614,125.0
1,5,switching,1.1101390367860327,98.0,80.53160155616614,125.0
1,5,reversed,1.1101390367860327,90.0,80.53160155616614,125.0
1,5,storage,1.1101390367860327,111.0,80.53160155616614,125.0
1,6,matching,2.5581383196109595,83.0,244.4787981701563,1.0
1,6,alternate,2.5581383196109595,103.0,244.4787981701563,1.0
1,6,switching,2.5581383196109595,76.0,244.4787981701563,1.0
1,6,reversed,2.5581383196109595,148.0,244.4787981701563,1.0
1,6,storage,2.5581383196109595,90.0,244.4787981701563,1.0
1,7,matching,0.843682957989143,83.0,51.83131931710778,414.0
1,7,alternate,0.843682957989143,103.0,51.83131931710778,414.0
1,7,switching,0.843682957989143,76.0,51.83131931710778,414.0
1,7,reversed,0.843682957989143,147.0,51.83131931710778,414.0
1,7,storage,0.843682957989143,91.0,51.83131931710778,414.0
1,8,matching,2.840810795982784,77.0,74.995420187808,1.0
1,8,alternate,2.840810795982784,76.0,74.995420187808,1.0
1,8,switching,2.840810795982784,35.0,74.995420187808,1.0
1,8,reversed,2.840810795982784,168.0,74.995420187808,1.0
1,8,storage,2.840810795982784,144.0,74.995420187808,1.0
1,9,matching,4.388428417478078,77.0,68.54143063636373,1.0
1,9,alternate,4.388428417478078,76.0,68.54143063636373,1.0
1,9,switching,4.388428417478078,35.0,68.54143063636373,1.0
1,9,reversed,4.388428417478078,169.0,68.54143063636373,1.0
1,9,storage,4.388428417478078,143.0,68.54143063636373,1.0
1,10,matching,3.7071556497305567,78.0,555.6950222074573,1.0
1,10,alternate,3.7071556497305567,76.0,555.6950222074573,1.0
1,10,switching,3.7071556497305567,35.0,555.6950222074573,1.0
1,10,reversed,3.7071556497305567,168.0,555.6950222074573,1.0
1,10,storage,3.7071556497305567,143.0,555.6950222074573,1.0
1,11,matching,2.505665132486829,78.0,422.26663270489246,1.0
1,11,alternate,2.505665132486829,77.0,422.26663270489246,1.0
1,11,switching,2.505665132486829,35.0,422.26663270489246,1.0
1,11,reversed,2.505665132486829,168.0,422.26663270489246,1.0
1,11,storage,2.505665132486829,142.0,422.26663270489246,1.0
1,12,matching,4.5637349168984755,78.0,193.12102177537122,1.0
1,12,alternate,4.5637349168984755,77.0,193.12102177537122,1.0
1,12,switching,4.5637349168984755,35.0,193.12102177537122,1.0
1,12,reversed,4.5637349168984755,168.0,193.12102177537122,1.0
1,12,storage,4.5637349168984755,142.0,193.12102177537122,1.0
1,13,matching,3.20080783369875,78.0,296.7834699915607,1.0
1,13,alternate,3.20080783369875,77.0,296.7834699915607,1.0
1,13,switching,3.20080783369875,35.0,296.7834699915607,1.0
1,13,reversed,3.20080783369875,168.0,296.7834699915607,1.0
1,13,storage,3.20080783369875,142.0,296.7834699915607,1.0
1,14,matching,2.78217052125369,78.0,538.2753370089771,1.0
1,14,alternate,2.78217052125369,77.0,538.2753370089771,1.0
1,14,switching,2.78217052125369,36.0,538.2753370089771,1.0
1,14,reversed,2.78217052125369,168.0,538.2753370089771,1.0
1,14,storage,2.78217052125369,141.0,538.2753370089771,1.0
1,15,matching,2.660966068758965,77.0,141.4539789865032,1.0
1,15,alternate,2.660966068758965,78.0,141.4539789865032,1.0
1,15,switching,2.660966068758965,36.0,141.4539789865032,1.0
1,15,reversed,2.660966068758965,168.0,141.4539789865032,1.0
1,15,storage,2.660966068758965,141.0,141.4539789865032,1.0
1,16,matching,3.722756389290281,77.0,131.71785013623332,1.0
1,16,alternate,3.722756389290281,78.0,131.71785013623332,1.0
1,16,switching,3.722756389290281,36.0,131.71785013623332,1.0
1,16,reversed,3.722756389290281,169.0,131.71785013623332,1.0
1,16,storage,3.722756389290281,140.0,131.71785013623332,1.0
1,17,matching,3.705265190685466,77.0,409.1023556274713,1.0
1,17,alternate,3.705265190685466,79.0,409.1023556274713,1.0
1,17,switching,3.705265190685466,35.0,409.1023556274713,1.0
1,17,reversed,3.705265190685466,169.0,409.1023556274713,1.0
1,17,storage,3.705265190685466,140.0,409.1023556274713,1.0
1,18,matching,2.4022157447880845,77.0,514.5132145282269,1.0
1,18,alternate,2.4022157447880845,79.0,514.5132145282269,1.0
1,18,switching,2.4022157447880845,35.0,514.5132145282269,1.0
1,18,reversed,2.4022157447880845,169.0,514.5132145282269,1.0
1,18,storage,2.4022157447880845,140.0,514.5132145282269,1.0
1,19,matching,2.939749590474926,77.0,146.39968823117633,1.0
1,19,alternate,2.939749590474926,79.0,146.39968823117633,1.0
1,19,switching,2.939749590474926,35.0,146.39968823117633,1.0
1,19,reversed,2.939749590474926,169.0,146.39968823117633,1.0
1,19,storage,2.939749590474926,140.0,146.39968823117633,1.0
1,20,matching,0.4116564250282382,76.0,39.886556349833896,499.0
1,20,alternate,0.4116564250282382,79.0,39.886556349833896,499.0
1,20,switching,0.4116564250282382,35.0,39.886556349833896,499.0
1,20,reversed,0.4116564250282382,170.0,39.886556349833896,499.0
1,20,storage,0.4116564250282382,140.0,39.886556349833896,499.0
1,21,matching,4.53514560616288,85.0,27.61160710991768,1.0
1,21,alternate,4.53514560616288,109.0,27.61160710991768,1.0
1,21,switching,4.53514560616288,19.0,27.61160710991768,1.0
1,21,reversed,4.53514560616288,206.0,27.61160710991768,1.0
1,21,storage,4.53514560616288,81.0,27.61160710991768,1.0
1,22,matching,2.8713780302330387,86.0,881.3156809706439,1.0
1,22,alternate,2.8713780302330387,109.0,881.3156809706439,1.0
1,22,switching,2.8713780302330387,19.0,881.3156809706439,1.0
1,22,reversed,2.8713780302330387,205.0,881.3156809706439,1.0
1,22,storage,2.8713780302330387,81.0,881.3156809706439,1.0
1,23,matching,3.2673380134779793,86.0,210.9476314401165,1.0
1,23,alternate,3.2673380134779793,110.0,210.9476314401165,1.0
1,23,switching,3.2673380134779793,19.0,210.9476314401165,1.0
1,23,reversed,3.2673380134779793,204.0,210.9476314401165,1.0
1,23,storage,3.2673380134779793,81.0,210.9476314401165,1.0
1,24,matching,2.9147028739671517,86.0,424.02242136090877,1.0
1,24,alternate,2.9147028739671517,109.0,424.02242136090877,1.0
1,24,switching,2.9147028739671517,19.0,424.02242136090877,1.0
1,24,reversed,2.9147028739671517,204.0,424.02242136090877,1.0
